doc_id,title,department,original_path,processed_text_path,processed_meta_path,processed_at,original_size_bytes,original_modified
ee2eb0b6-df0d-4b5f-94a9-b3cab2d5f787,Chatbot Script Samples (L0 Diagnostics),Customer Support,Database/Customer Support/Chatbot Script Samples (L0 Diagnostics).pdf,processed_docs/Customer Support/Chatbot Script Samples (L0 Diagnostics).txt,processed_docs/Customer Support/Chatbot Script Samples (L0 Diagnostics).json,2025-10-22T15:51:17.217592Z,103518,2025-10-04T18:26:44.554357
275e57ef-61f5-481c-9e9f-f6e74669de58,Complaint Resolution Workflow (CRR-001),Customer Support,Database/Customer Support/Complaint Resolution Workflow (CRR-001).pdf,processed_docs/Customer Support/Complaint Resolution Workflow (CRR-001).txt,processed_docs/Customer Support/Complaint Resolution Workflow (CRR-001).json,2025-10-22T15:51:17.226593Z,64881,2025-10-04T18:26:25.052264
d09a244b-0231-4d34-b891-7d7cf98264ae,Customer Satisfaction (CSAT) Survey Template,Customer Support,Database/Customer Support/Customer Satisfaction (CSAT) Survey Template.pdf,processed_docs/Customer Support/Customer Satisfaction (CSAT) Survey Template.txt,processed_docs/Customer Support/Customer Satisfaction (CSAT) Survey Template.json,2025-10-22T15:51:17.233590Z,60660,2025-10-04T18:27:03.259810
ccd58abf-350a-496f-a84c-65478483a61c,Customer Support Escalation Matrix (Contact & Responsibility),Customer Support,Database/Customer Support/Customer Support Escalation Matrix (Contact & Responsibility).pdf,processed_docs/Customer Support/Customer Support Escalation Matrix (Contact & Responsibility).txt,processed_docs/Customer Support/Customer Support Escalation Matrix (Contact & Responsibility).json,2025-10-22T15:51:17.241590Z,66759,2025-10-04T18:27:25.872691
c3344ba6-23ed-424d-b120-913c37a0f422,Customer Support Resource Allocation Plan (Q1 2026),Customer Support,Database/Customer Support/Customer Support Resource Allocation Plan (Q1 2026).pdf,processed_docs/Customer Support/Customer Support Resource Allocation Plan (Q1 2026).txt,processed_docs/Customer Support/Customer Support Resource Allocation Plan (Q1 2026).json,2025-10-22T15:51:17.248590Z,57215,2025-10-04T18:29:48.068566
a1c8697d-9ef4-46fc-8e8f-68c121960204,Frequently Asked Questions (FAQ) - AI Features,Customer Support,Database/Customer Support/Frequently Asked Questions (FAQ) - AI Features.pdf,processed_docs/Customer Support/Frequently Asked Questions (FAQ) - AI Features.txt,processed_docs/Customer Support/Frequently Asked Questions (FAQ) - AI Features.json,2025-10-22T15:51:17.255591Z,58963,2025-10-04T18:28:13.165289
f37312bf-0636-44c9-be2c-2050ec0778cb,Instructions for AI - Data Handling Protocol (Internal Support Tools),Customer Support,Database/Customer Support/Instructions for AI - Data Handling Protocol (Internal Support Tools).pdf,processed_docs/Customer Support/Instructions for AI - Data Handling Protocol (Internal Support Tools).txt,processed_docs/Customer Support/Instructions for AI - Data Handling Protocol (Internal Support Tools).json,2025-10-22T15:51:17.263591Z,60133,2025-10-04T18:28:32.885246
cecf18c6-728a-463a-8603-5253f791a262,KB-101 Troubleshooting SAML Single Sign-On (SSO) Errors,Customer Support,Database/Customer Support/KB-101 Troubleshooting SAML Single Sign-On (SSO) Errors.pdf,processed_docs/Customer Support/KB-101 Troubleshooting SAML Single Sign-On (SSO) Errors.txt,processed_docs/Customer Support/KB-101 Troubleshooting SAML Single Sign-On (SSO) Errors.json,2025-10-22T15:51:17.271590Z,63188,2025-10-04T18:23:33.157372
f396fa81-7824-44ee-971e-ca4c06e892c2,KB-205 Resolving 'Inference Latency Timeout' (AI Model Failure),Customer Support,Database/Customer Support/KB-205 Resolving 'Inference Latency Timeout' (AI Model Failure).pdf,processed_docs/Customer Support/KB-205 Resolving 'Inference Latency Timeout' (AI Model Failure).txt,processed_docs/Customer Support/KB-205 Resolving 'Inference Latency Timeout' (AI Model Failure).json,2025-10-22T15:51:17.279590Z,58521,2025-10-04T18:24:07.643041
7b0d07fc-bb7a-4bec-8262-65ec3ba0f61a,KB-302 How to Check the Status of a Feature Deployment,Customer Support,Database/Customer Support/KB-302 How to Check the Status of a Feature Deployment.pdf,processed_docs/Customer Support/KB-302 How to Check the Status of a Feature Deployment.txt,processed_docs/Customer Support/KB-302 How to Check the Status of a Feature Deployment.json,2025-10-22T15:51:17.286590Z,60312,2025-10-04T18:24:30.462291
